iter	RMSE
468	32.98577869
469	32.84781714
470	32.73659652
471	32.67398205
472	32.51935988
473	32.41625486
474	32.32835833
475	32.27374727
476	32.1787777
477	32.0873163
478	31.99674175
479	31.95607268
480	31.85670207
481	31.76652844
482	31.63102193
483	31.54174968
484	31.45166485
485	31.32766002
486	31.20904682
487	31.13108536
488	30.99822942
489	30.92908211
490	30.86534132
491	30.80515524
492	30.68431859
493	30.60189005
494	30.54248221
495	30.43269845
496	30.30512075
497	30.21633759
498	30.13646361
499	30.02408359
500	29.9419996
501	29.86316811
502	29.8124235
503	29.7033479
504	29.57960615
505	29.51882914
506	29.438
507	29.34269702
508	29.24250448
509	29.19418267
510	29.09707062
511	29.01672045
512	28.92858635
513	28.87131461
514	28.79667388
515	28.71238589
516	28.63738857
517	28.59003363
518	28.4823587
519	28.36272033
520	28.2823779
521	28.19101837
522	28.15331011
523	28.07077637
524	28.0008554
525	27.94824659
526	27.83734206
527	27.78551613
528	27.69453291
529	27.60649639
530	27.52139889
531	27.4575938
532	27.39103659
533	27.30493943
534	27.26725794
535	27.2489609
536	27.19411882
537	27.12203807
538	27.08226429
539	27.02616669
540	26.95675456
541	26.86907865
542	26.77571948
543	26.69904216
544	26.59801574
545	26.51720586
546	26.45711266
547	26.41607046
548	26.36047517
549	26.32361478
550	26.2516711
551	26.1623236
552	26.06815048
553	26.00958108
554	25.92541242
555	25.85994862
556	25.78787111
557	25.73517816
558	25.68158485
559	25.6210658
560	25.54967571
561	25.48182937
562	25.4322498
563	25.32593567
564	25.3002098
565	25.2437009
566	25.1439841
567	25.0717327
568	25.01235914
569	24.96469541
570	24.9240984
571	24.85424496
572	24.75583329
573	24.71627206
574	24.66055138
575	24.61194097
576	24.55318893
577	24.49377651
578	24.45689936
579	24.41000216
580	24.3819929
581	24.31868889
582	24.23247869
583	24.20202709
584	24.14683898
585	24.09683874
586	24.05829164
587	24.03499162
588	24.0063801
589	23.96075659
590	23.93625155
591	23.90305779
592	23.85810739
593	23.82712277
594	23.78418653
595	23.74485694
596	23.65195999
597	23.58599741
598	23.54134405
599	23.49134437
600	23.43246343
601	23.40617679
602	23.35408123
603	23.33622977
604	23.29874128
605	23.25280114
606	23.21050104
607	23.18634799
608	23.16713276
609	23.11488316
610	23.07626313
611	23.03518005
612	22.99927197
613	22.93307035
614	22.88815457
615	22.8388664
616	22.78811717
617	22.74990314
618	22.71288998
619	22.67538811
620	22.59067925
621	22.56066888
622	22.5382856
623	22.48372822
624	22.43667874
625	22.41747644
626	22.36732906
627	22.34149095
628	22.29862883
629	22.2761633
630	22.23595934
631	22.18917084
632	22.15676443
633	22.11423678
634	22.06774015
635	22.01173113
636	21.98791285
637	21.93296064
638	21.90165491
639	21.88383794
640	21.81353782
641	21.7701585
642	21.72483692
643	21.68034791
644	21.64690417
645	21.5976578
646	21.57745342
647	21.56020198
648	21.53919618
649	21.50697963
650	21.47347689
651	21.42844049
652	21.38139719
653	21.3437245
654	21.30358646
655	21.28516088
656	21.24451264
657	21.22803731
658	21.20283679
659	21.16632574
660	21.13476344
661	21.09568138
662	21.05764947
663	21.03724239
664	21.01210934
665	20.97198248
666	20.94085635
667	20.91554825
668	20.87701564
669	20.83407186
670	20.79952089
671	20.77896311
672	20.76432566
673	20.73946839
674	20.70823781
675	20.68167614
676	20.63788249
677	20.605008
678	20.58643384
679	20.55824007
680	20.51041701
681	20.49731566
682	20.46776255
683	20.43488865
684	20.40051274
685	20.37310896
686	20.35078681
687	20.33224833
688	20.30674126
689	20.2751737
690	20.24901432
691	20.22391791
692	20.20430667
693	20.18598817
694	20.16786311
695	20.14060447
696	20.12077351
697	20.08694213
698	20.04091611
699	20.01947071
700	19.99403731
701	19.97932308
702	19.96844954
703	19.93507145
704	19.89230088
705	19.86203329
706	19.83718812
707	19.82284416
708	19.78068113
709	19.74813471
710	19.72616778
711	19.70968078
712	19.67303121
713	19.65586523
714	19.62139601
715	19.59096958
716	19.56815597
717	19.54550205
718	19.52491741
719	19.51316707
720	19.48636947
721	19.47319017
722	19.44587033
723	19.41430017
724	19.39016745
725	19.37054344
726	19.35871759
727	19.34714161
728	19.32559132
729	19.28793963
730	19.27626822
731	19.26402141
732	19.22677244
733	19.20418224
734	19.1888586
735	19.15379971
736	19.13671867
737	19.11425195
738	19.08328803
739	19.06944019
740	19.0447119
741	19.03333511
742	19.01265695
743	18.98131724
744	18.97124438
745	18.96105922
746	18.94284664
747	18.91577193
748	18.88654818
749	18.85679661
750	18.83692987
751	18.82424927
752	18.79922274
753	18.78838407
754	18.77555925
755	18.74986433
756	18.72718652
757	18.71484427
758	18.70046429
759	18.67953139
760	18.64651739
761	18.60231206
762	18.58754396
763	18.56799674
764	18.55873284
765	18.52975111
766	18.49867372
767	18.47552935
768	18.45991226
769	18.44406353
770	18.43421274
771	18.42215537
772	18.4079536
773	18.39426866
774	18.37594253
775	18.36302447
776	18.3496978
777	18.33037595
778	18.32037211
779	18.30113748
780	18.2915547
781	18.25787476
782	18.24310076
783	18.22805836
784	18.21637837
785	18.1983219
786	18.17572602
787	18.15073157
788	18.12760868
789	18.10729505
790	18.09374905
791	18.08507356
792	18.0690214
793	18.05419018
794	18.03044842
795	18.01494322
796	17.99982404
797	17.97791352
798	17.96774273
799	17.9503599
800	17.94210801
801	17.93216317
802	17.9156604
803	17.90778106
804	17.8867194
805	17.87894873
806	17.86830857
807	17.85796119
808	17.83334583
809	17.81553785
810	17.79229374
811	17.77903518
812	17.7646824
813	17.75348939
814	17.74080253
815	17.72273108
816	17.71112468
817	17.68954491
818	17.68184267
819	17.66943814
820	17.65602989
821	17.63659068
822	17.62561226
823	17.60893676
824	17.58837995
825	17.5711586
826	17.55301635
827	17.54206542
828	17.53555612
829	17.51660411
830	17.50810959
831	17.49979522
832	17.47960684
833	17.46438832
834	17.45862918
835	17.44939695
836	17.43695007
837	17.42554084
838	17.41653079
839	17.40343228
840	17.3938699
841	17.38376998
842	17.36150921
843	17.35361035
844	17.33293821
845	17.31777719
846	17.31020161
847	17.30331181
848	17.29412535
849	17.2827532
850	17.25764254
851	17.24203392
852	17.21990116
853	17.21393573
854	17.20667805
855	17.18244779
856	17.17446986
857	17.15404459
858	17.14168185
859	17.13112544
860	17.11871544
861	17.1117111
862	17.10252192
863	17.09569907
864	17.0818341
865	17.07366418
866	17.06469181
867	17.05554
868	17.03482623
869	17.02597517
870	17.02024279
871	17.01487596
872	17.00307008
873	16.9892743
874	16.97499658
875	16.97063627
876	16.96375161
877	16.95323981
878	16.94609158
879	16.91980514
880	16.90930397
881	16.89266119
882	16.88109048
883	16.86128232
884	16.85055551
885	16.84403221
886	16.82942513
887	16.80304295
888	16.78495618
889	16.77417447
890	16.76681887
891	16.74872448
892	16.73020848
893	16.72299748
894	16.71334723
895	16.69791567
896	16.67851202
897	16.6701042
898	16.66453121
899	16.65132939
900	16.62995773
901	16.61630867
902	16.60205049
903	16.59114876
904	16.57147285
905	16.56059115
906	16.55381808
907	16.54362581
908	16.53945626
909	16.52549411
910	16.51252381
911	16.49865986
912	16.49092587
913	16.47526827
914	16.46124333
915	16.44894852
916	16.43549438
917	16.43291205
918	16.42157477
919	16.40321966
920	16.39441429
921	16.38937456
922	16.38331861
923	16.36976452
924	16.36477172
925	16.35823463
926	16.35171107
927	16.34294722
928	16.33493894
929	16.3231298
930	16.30773625
931	16.29949002
932	16.29461992
933	16.28715366
934	16.27647942
935	16.26168704
936	16.25639852
937	16.2490382
938	16.24540533
939	16.23427274
940	16.22782023
941	16.21363294
942	16.2064121
943	16.19703412
944	16.18850692
945	16.17544068
946	16.17093176
947	16.16140227
948	16.15608818
949	16.14395469
950	16.13244526
951	16.12384508
952	16.11685426
953	16.10526972
954	16.09592139
955	16.08662389
956	16.07740025
957	16.06120703
958	16.05478593
959	16.03712026
960	16.0234006
961	16.01269741
962	16.00715127
963	15.99977761
964	15.99331648
965	15.9815178
966	15.97803757
967	15.96888343
968	15.9605806
969	15.95325897
970	15.94117158
971	15.93516784
972	15.92771516
973	15.92315111
974	15.91050947
975	15.90868531
976	15.8940559
977	15.88846869
978	15.87652375
979	15.86225323
980	15.84474647
981	15.83798338
982	15.83155419
983	15.82596739
984	15.81652369
985	15.80667187
986	15.80401076
987	15.79464996
988	15.78445876
989	15.77273236
990	15.76450474
991	15.75505804
992	15.74462604
993	15.73587244
994	15.72957498
995	15.72240611
996	15.71670059
997	15.7054654
998	15.69846577
999	15.69681762
